docid,level,parent,code,label
38,1,16,info.info-gr,info.info-gr = Informatique [cs]/Synthèse d'image et réalité virtuelle [cs.GR]
39,1,16,info.info-gt,info.info-gt = Informatique [cs]/Informatique et théorie des jeux [cs.GT]
40,1,16,info.info-hc,info.info-hc = Informatique [cs]/Interface homme-machine [cs.HC]
41,1,16,info.info-ia,info.info-ia = Informatique [cs]/Ingénierie assistée par ordinateur
42,1,16,info.info-im,info.info-im = Informatique [cs]/Imagerie médicale
43,1,16,info.info-ir,info.info-ir = Informatique [cs]/Recherche d'information [cs.IR]
44,1,16,info.info-it,info.info-it = Informatique [cs]/Théorie de l'information [cs.IT]
45,1,16,info.info-iu,info.info-iu = Informatique [cs]/Informatique ubiquitaire
46,1,16,info.info-lg,info.info-lg = Informatique [cs]/Apprentissage [cs.LG]
47,1,16,info.info-lo,info.info-lo = Informatique [cs]/Logique en informatique [cs.LO]
48,1,16,info.info-ma,info.info-ma = Informatique [cs]/Système multi-agents [cs.MA]
49,1,16,info.info-mc,info.info-mc = Informatique [cs]/Informatique mobile
50,1,16,info.info-mm,info.info-mm = Informatique [cs]/Multimédia [cs.MM]
51,1,16,info.info-mo,info.info-mo = Informatique [cs]/Modélisation et simulation
52,1,16,info.info-ms,info.info-ms = Informatique [cs]/Logiciel mathématique [cs.MS]
53,1,16,info.info-na,info.info-na = Informatique [cs]/Analyse numérique [cs.NA]
54,1,16,info.info-ne,info.info-ne = Informatique [cs]/Réseau de neurones [cs.NE]
55,1,16,info.info-ni,info.info-ni = Informatique [cs]/Réseaux et télécommunications [cs.NI]
56,1,16,info.info-oh,info.info-oh = Informatique [cs]/Autre [cs.OH]
57,1,16,info.info-os,info.info-os = Informatique [cs]/Système d'exploitation [cs.OS]
58,1,16,info.info-pf,info.info-pf = Informatique [cs]/Performance et fiabilité [cs.PF]
60,1,16,info.info-pl,info.info-pl = Informatique [cs]/Langage de programmation [cs.PL]
61,1,16,info.info-rb,info.info-rb = Informatique [cs]/Robotique [cs.RO]
62,1,16,info.info-ro,info.info-ro = Informatique [cs]/Recherche opérationnelle [cs.RO]
63,1,16,info.info-sc,info.info-sc = Informatique [cs]/Calcul formel [cs.SC]
64,1,16,info.info-sd,info.info-sd = Informatique [cs]/Son [cs.SD]
65,1,16,info.info-se,info.info-se = Informatique [cs]/Génie logiciel [cs.SE]
381,1,16,info.info-si,info.info-si = Informatique [cs]/Réseaux sociaux et d'information [cs.SI]
382,1,16,info.info-sy,info.info-sy = Informatique [cs]/Systèmes et contrôle [cs.SY]
66,1,16,info.info-ti,info.info-ti = Informatique [cs]/Traitement des images [eess.IV]
67,1,16,info.info-ts,info.info-ts = Informatique [cs]/Traitement du signal et de l'image [eess.SP]
68,1,16,info.info-tt,info.info-tt = Informatique [cs]/Traitement du texte et du document
69,1,16,info.info-wb,info.info-wb = Informatique [cs]/Web
70,0,0,math,math = Mathématiques [math]
71,1,70,math.math-ac,math.math-ac = Mathématiques [math]/Algèbre commutative [math.AC]
72,1,70,math.math-ag,math.math-ag = Mathématiques [math]/Géométrie algébrique [math.AG]
73,1,70,math.math-ap,math.math-ap = Mathématiques [math]/Equations aux dérivées partielles [math.AP]
74,1,70,math.math-at,math.math-at = Mathématiques [math]/Topologie algébrique [math.AT]
75,1,70,math.math-ca,math.math-ca = Mathématiques [math]/Analyse classique [math.CA]
